Temperature,Albido,Reed,Lava
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
74,330,1,1
76,369,1,1
73,354,1,1
74,388,1,1
75,330,1,1
76,331,1,1
74,327,1,1
74,359,1,1
0,334,1,1
73,357,1,1
76,366,1,1
76,333,1,1
78,341,1,1
81,321,1,1
82,399,1,1
83,387,1,1
84,365,1,1
85,321,1,1
86,305,1,1
87,312,1,1
88,333,1,1
89,355,1,1
91,366,1,1
91,377,1,1
92,388,1,1
98,311,1,1
97,316,1,1
94,317,1,1
97,327,1,1
95,354,1,1
93,358,1,1
95,376,1,1
96,356,1,1
97,372,1,1
98,364,1,1
95,361,1,1
94,354,1,1
93,387,1,1
92,356,1,1
99,376,1,1
71,321,1,1
73,341,1,1
75,321,1,1
74,356,1,1
76,387,1,1
76,365,1,1
77,333,1,1
77,378,1,1
75,369,1,1
76,365,1,1
78,358,1,1
77,349,1,1
73,365,1,1
73,358,1,1
73,366,1,1
74,374,1,1
73,321,1,1
74,336,1,1
73,349,1,1
74,348,1,1
73,329,1,1
74,330,1,1
73,340,1,1
74,350,1,1
73,360,1,1
74,361,1,1
74,378,1,1
73,391,1,1
99,354,1,1
73,317,1,1
74,319,1,1
75,318,1,1
76,327,1,1
73,332,1,1
74,337,1,1
75,370,1,1
76,373,1,1
73,369,1,1
74,359,1,1
76,351,1,1
73,361,1,1
74,365,1,1
73,371,1,1
74,369,1,1
97,359,1,1
96,369,1,1
95,367,1,1
94,312,1,1
93,387,1,1
92,365,1,1
91,354,1,1
90,361,1,1
82,362,1,1
86,352,1,1
73,355,1,1
76,365,1,1
74,363,1,1
75,361,1,1
73,367,1,1
